name,ingredients,ingredients_measurements,recipe,garnish,glass
alabama slammer (straight-up),"grenadine syrup, liqueur, orange juice, vodka","[['4.5 cl', 'Ketel One Vodka'], ['2.25 cl', 'Southern USA-style liqueur 40% (e.g. Southern Comfort)'], ['3 cl', 'Orange juice (freshly squeezed)'], ['0.75 cl', 'Giffard Grenadine syrup']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Orange zest twist,Martini glass
alabama slammer,"disaronno amaretto, lemon juice, liqueur, orange juice, sloe gin","[['4.5 cl', 'Southern USA-style liqueur 40% (e.g. Southern Comfort)'], ['1.5 cl', 'Disaronno amaretto'], ['1.5 cl', 'Rutte Sloe Gin'], ['6 cl', 'Orange juice (freshly squeezed)'], ['2.25 cl', 'Lemon juice (freshly squeezed)']]",SHAKE all ingredients with ice and strain into ice-filled glass.,Peach slice,Old-fashioned glass
alamagoozlum cocktail,"angostura aromatic bitters, chilled water, jamaican aged blended rum, old simon genever, orange curacao liqueur, pasteurised egg white, sugar syrup, yellow chartreuse liqueur","[['2 cl', 'Rutte Old Simon Genever'], ['1.5 cl', 'Jamaican aged blended rum'], ['1.5 cl', 'Yellow Chartreuse liqueur'], ['0.5 cl', 'Orange Curaçao liqueur'], ['0.5 cl', 'Angostura Aromatic Bitters'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['2 cl', 'Chilled water'], ['1.5 cl', 'Pasteurised egg white']]",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,Pineapple wedge on rim,Coupe glass
alan's apple breeze,"apple juice, apricot brandy liqueur, cranberry juice, light rum, lime juice, sugar syrup","[['6 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', 'De Kuyper Apricot Brandy liqueur'], ['4.5 cl', 'Apple juice'], ['4.5 cl', 'Cranberry juice (sweetened)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]",SHAKE all ingredients with ice and strain into ice-filled glass.,Apple wedge,Collins glass
alaska (savoy recipe),"chilled water, dry gin, yellow chartreuse liqueur","[['4.5 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Yellow Chartreuse liqueur'], ['1 cl', 'Chilled water']]",STIR all ingredients with ice and strain into chilled glass.,Orange zest twist,Nick & Nora glass
alessandro,"black sambuca liqueur, dry gin, milk, single cream / half-and-half","[['2.25 cl', 'Rutte Dry Gin'], ['2.25 cl', 'Black sambuca liqueur'], ['2.25 cl', 'Milk (semi-skimmed/2% fat)'], ['2.25 cl', 'Single cream / half-and-half']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Lemon zest twist,Martini glass
alexander,"dry gin, dutch cacao white creme de cacao, pasteurised egg white, single cream / half-and-half","[['4.5 cl', 'Rutte Dry Gin'], ['2.25 cl', 'Dutch Cacao white crème de cacao'], ['2.25 cl', 'Single cream / half-and-half'], ['1 cl', 'Pasteurised egg white (optional)']]",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,Dust with grated nutmeg,Coupe glass
alexander the great,"coffee liqueur, dutch cacao white creme de cacao, single cream / half-and-half, vodka","[['4.5 cl', 'Ketel One Vodka'], ['1.5 cl', 'Coffee liqueur'], ['1.5 cl', 'Dutch Cacao white crème de cacao'], ['2.25 cl', 'Single cream / half-and-half']]",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,Dust with freshly grated nutmeg,Coupe glass
alexander's big brother,"blue curacao, dry gin, pasteurised egg white, single cream / half-and-half, sugar syrup, triple sec","[['4.5 cl', 'Rutte Dry Gin'], ['0.75 cl', 'De Kuyper Triple Sec (40%)'], ['2.25 cl', 'De Kuyper Blue Curaçao'], ['2.25 cl', 'Single cream / half-and-half'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['0.75 cl', 'Pasteurised egg white (optional)']]",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,Physalis (cape gooseberry) on rim,Martini glass
alexander's sister,"dry gin, pasteurised egg white, peppermint pastille creme de menthe, single cream / half-and-half, sugar syrup","[['4.5 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Giffard Peppermint Pastille crème de menthe'], ['2.25 cl', 'Single cream / half-and-half'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['0.75 cl', 'Pasteurised egg white (optional)']]",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,Dust with freshly grated nutmeg,Martini glass
alexandra,"coffee liqueur, navy rum, pasteurised egg white, single cream / half-and-half","[['4.5 cl', 'Navy rum (54.5% alc./vol.)'], ['3 cl', 'Coffee liqueur'], ['3 cl', 'Single cream / half-and-half'], ['0.75 cl', 'Pasteurised egg white (optional)']]",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,Dust with freshly grated nutmeg,Martini glass
alfonso,"angostura aromatic bitters, brut champagne, dubonnet red, white caster sugar","[['1 cube', 'White caster sugar'], ['4 dash', 'Angostura Aromatic Bitters'], ['1.5 cl', 'Dubonnet Red'], ['Top up with', 'Brut Champagne']]",Coat sugar cube with bitters and drop into glass. POUR Dubonnet and then champagne into chilled glass.,Lemon zest twist,Flute glass
algonquin,"martini bianco vermouth, peychaud's or other creole-style bitters, pineapple juice, straight rye whiskey","[['4.5 cl', 'Straight rye whiskey (100 proof / 50% alc./vol.)'], ['2.25 cl', 'Martini Bianco vermouth'], ['2.25 cl', 'Pineapple juice (fresh pressed)'], ['1 dash', ""Peychaud's or other Creole-style bitters (optional)""]]",SHAKE all ingredients with ice and fine strain into chilled glass.,Pineapple wedge & Luxardo Maraschino cherry,Coupe glass
alice from dallas,"coffee liqueur, orange liqueur, tequila","[['1.5 cl', 'Coffee liqueur'], ['1.5 cl', 'Grand Marnier or other cognac orange liqueur'], ['1.5 cl', 'Patrón Reposado tequila']]",Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,,Shot glass
alice in wonderland,"orange liqueur, tequila","[['3 cl', 'Grand Marnier or other cognac orange liqueur'], ['1.5 cl', 'Patrón Reposado tequila']]",Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,Lime wedge,Shot glass
all fall down,"coffee liqueur, navy rum, tequila","[['1.5 cl', 'Coffee liqueur'], ['1.5 cl', 'Patrón Reposado tequila'], ['1.5 cl', 'Navy rum (54.5% alc./vol.)']]",Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,,Shot glass
all white frappe,"creme de menthe, dutch cacao white creme de cacao, lemon juice, luxardo sambuca","[['3 cl', 'Luxardo Sambuca'], ['3 cl', 'Dutch Cacao white crème de cacao'], ['3 cl', 'Giffard Menthe Pastille white crème de menthe'], ['3 cl', 'Lemon juice (freshly squeezed)']]",BLEND ingredients with 6oz scoop of crushed ice. Pour into glass and serve with short straws.,Lemon zest twist,Old-fashioned glass
almond cocktail,"apple juice, lemon juice, orgeat syrup, peach bitters, vodka","[['6 cl', 'Ketel One Vodka'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Giffard Orgeat Syrup'], ['3 cl', 'Apple juice'], ['2 dash', 'Peach bitters (optional)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Sink three almonds,Martini glass
almond martini,"bob's vanilla bitters, chilled water, disaronno amaretto, martini extra dry vermouth, vodka","[['6 cl', 'Ketel One Vodka'], ['2.25 cl', 'Disaronno amaretto'], ['0.75 cl', 'Martini Extra Dry vermouth'], ['4 drop', ""Bob's Vanilla bitters""], ['1 cl', 'Chilled water']]",STIR all ingredients with ice and strain into chilled glass.,Sink three almonds,Martini glass
almond old fashioned (tequila based),"agave syrup, disaronno amaretto, orange bitters, tequila","[['6 cl', 'Patrón Reposado tequila'], ['0.75 cl', 'Disaronno amaretto'], ['0.75 cl', 'Agave syrup'], ['2 dash', 'Orange Bitters by Angostura']]","STIR one shot of tequila with two ice cubes in a glass. Add amaretto, agave syrup, bitters and two more ice cubes. Stir some more then add another two ice cubes and the remaining tequila. Stir lots more so as to melt ice then add more ice. The melting and stirring in of ice cubes is essential to the dilution and taste of the drink.",Orange zest twist,Old-fashioned glass
almond old fashioned (tequila based),"agave syrup, disaronno amaretto, orange bitters, tequila","[['6 cl', 'Reposado tequila (100% agave)'], ['0.75 cl', 'Amaretto liqueur'], ['0.75 cl', 'Agave syrup'], ['2 dash', 'Orange bitters']]","STIR one shot of tequila with two ice cubes in a glass. Add amaretto, agave syrup, bitters and two more ice cubes. Stir some more then add another two ice cubes and the remaining tequila. Stir lots more so as to melt ice then add more ice. The melting and stirring in of ice cubes is essential to the dilution and taste of the drink.",Orange zest twist,Old-fashioned glass
amaretto sour,"angostura aromatic bitters, disaronno amaretto, lemon juice, pasteurised egg white","[['6 cl', 'Disaronno amaretto'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['1 dash', 'Angostura Aromatic Bitters'], ['1.5 cl', 'Pasteurised egg white']]",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into ice-filled glass.,Spray aromatic bitters over foaming cocktail from atomiser and then garnish with lemon & cherry sail (lemon slice & Luxardo Maraschino cherry on stick),Old-fashioned glass
amber,"apple juice, apple schnapps liqueur, bison grass vodka, root ginger, sugar syrup","[['4 slice', 'Root ginger (thumbnail-sized slice)'], ['4.5 cl', 'Bison grass vodka'], ['12 cl', 'Apple juice'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Apple Schnapps liqueur']]","MUDDLE ginger in base of shaker. Add other ingredients, SHAKE with ice and strain into glass filled with crushed ice.",Dust with grated nutmeg & apple wedge,Collins glass
ambrosia,"avallen calvados, brut champagne, cognac, lemon juice, triple sec","[['3 cl', 'Rémy Martin 1738 Cognac'], ['3 cl', 'Avallen Calvados'], ['0.75 cl', 'De Kuyper Triple Sec (40%)'], ['0.75 cl', 'Lemon juice (freshly squeezed)'], ['Top up with', 'Brut Champagne']]","SHAKE first 4 ingredients with ice and strain into glass, TOP with champagne.",,Flute glass
ambrosia cocktail,"cognac, licor 43 original liqueur, warninks advocaat liqueur, yellow chartreuse liqueur","[['2 cl', 'Rémy Martin 1738 Cognac'], ['2.5 cl', 'Licor 43 Original liqueur'], ['1.25 cl', 'Yellow Chartreuse liqueur'], ['5 cl', 'Warninks Advocaat liqueur']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Dust with grated nutmeg,Coupe glass
american beauty (by david embury),"cognac, creme de menthe, grenadine syrup, martini extra dry vermouth, orange juice, shiraz red wine","[['6 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Martini Extra Dry vermouth'], ['1.5 cl', 'Giffard Menthe Pastille white crème de menthe'], ['1.5 cl', 'Orange juice (freshly squeezed)'], ['1.5 cl', 'Giffard Grenadine syrup'], ['0.5 cl', 'Shiraz red wine']]",SHAKE first 5 ingredients with CRUSHED ICE and fine strain into chilled glass. FLOAT red wine on surface of cocktail.,Float mint leaf or red rose petal,Coupe glass
american pie cocktail,"apple juice, apple schnapps liqueur, bourbon whiskey, cranberry juice, creme de myrtille liqueur, lime juice","[['4.5 cl', 'Bourbon whiskey'], ['1.5 cl', 'Apple Schnapps liqueur'], ['1.5 cl', 'Giffard Crème de Myrtille liqueur'], ['2.25 cl', 'Cranberry juice (sweetened)'], ['1.5 cl', 'Apple juice'], ['0.75 cl', 'Lime juice (freshly squeezed)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Apple wedge,Martini glass
americana,"angostura aromatic bitters, bourbon whiskey, brut champagne, white caster sugar","[['1 cube', 'White caster sugar'], ['4 dash', 'Angostura Aromatic Bitters'], ['1.5 cl', 'Bourbon whiskey'], ['Top up with', 'Brut Champagne']]",Coat sugar cube with bitters and drop into glass. POUR bourbon and then champagne into chilled glass.,Peach slice,Flute glass
americano,"italian red bitter liqueur, soda water, sweet vermouth","[['4.5 cl', 'Italian red bitter liqueur'], ['4.5 cl', 'Martini Rosso sweet vermouth'], ['7.5 cl', 'Thomas Henry Soda Water']]",POUR all ingredients into glass and then fill with ice.,Orange slice,Collins glass
anis'tini,"black sambuca liqueur, chilled water, pernod anise, star anise, vodka","[['2 dried', 'Star anise'], ['3 cl', 'Ketel One Vodka'], ['2.25 cl', 'Black sambuca liqueur'], ['1.5 cl', 'Pernod anise'], ['4.5 cl', 'Chilled water (reduce if wet ice)']]","MUDDLE star anise in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.",Star anise,Martini glass
anita's attitude adjuster,"brut champagne, dry gin, light rum, lime juice, sugar syrup, tequila, triple sec, vodka","[['1.5 cl', 'De Kuyper Triple Sec (40%)'], ['1.5 cl', 'Patrón Reposado tequila'], ['1.5 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Ketel One Vodka'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['Top up with', 'Brut Champagne']]",SHAKE first seven ingredients with ice and strain into ice-filled glass. TOP with champagne and gently stir.,Lemon slice & cherry on stick (sail),Sling glass
apache,"coffee liqueur, green melon liqueur, irish cream liqueur","[['2.25 cl', 'Coffee liqueur'], ['1.5 cl', 'Green melon liqueur'], ['1.5 cl', 'Irish cream liqueur']]",Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,,Shot glass
aphrodisiac,"apple juice, green chartreuse liqueur, root ginger, sauvignon blanc wine, vanilia vodka","[['2 slice', 'Root ginger (thumbnail-sized slice)'], ['6 cl', 'Absolut Vanilia vodka'], ['1.5 cl', 'Green Chartreuse liqueur'], ['7.5 cl', 'Apple juice'], ['4.5 cl', 'Sauvignon blanc wine']]","MUDDLE ginger in base of shaker. Add other ingredients, SHAKE with ice and fine strain into ice-filled glass.",Apple slice,Collins glass
aphrodisiac,"apple juice, green chartreuse liqueur, root ginger, sauvignon blanc wine, vanilia vodka","[['3 cl', 'Limoncello di Capri Liqueur'], ['1 cl', 'St-Germain elderflower liqueur'], ['2.5 cl', 'Lemon juice (freshly squeezed)'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['3 dash', 'The Bitter Truth Creole Bitters'], ['Top up with', 'Prosecco sparkling wine']]",Shake and double strain. Top with bubbles.,Gold ribbon wrapped and pegged to the stem of the glass.,Flute glass
apple & blackberry pie,"apple juice, blackberries, single cream / half-and-half, vodka","[['7 fresh', 'Blackberries'], ['6 cl', 'Ketel One Vodka'], ['3 cl', 'Apple juice'], ['Float', 'Single cream / half-and-half']]","MUDDLE blackberries in base of shaker. Add vodka and apple juice, SHAKE all ingredients with ice and fine strain into chilled glass. FLOAT cream on the surface of the drink by pouring over the back of a spoon and swirl to form a thin layer. Depending on the sweetness of your blackberries, you may need to add a touch of sugar syrup.",Dust with cinnamon powder & blackberry,Martini glass
apple & cranberry pie,"apple schnapps liqueur, cranberry juice, single cream / half-and-half, vodka","[['4.5 cl', 'Ketel One Vodka'], ['2.25 cl', 'Apple Schnapps liqueur'], ['3 cl', 'Cranberry juice (sweetened)'], ['Float', 'Single cream / half-and-half']]",SHAKE first 3 ingredients with ice and fine strain into chilled glass. FLOAT cream on surface of drink by pouring over back of spoon and swirl to form a thin layer.,Dust with cinnamon powder,Martini glass
apple & custard cocktail,"apple schnapps liqueur, avallen calvados, vanilla sugar syrup, warninks advocaat liqueur","[['6 cl', 'Warninks Advocaat liqueur'], ['4.5 cl', 'Avallen Calvados'], ['1.5 cl', 'Apple Schnapps liqueur'], ['0.75 cl', 'Vanilla sugar syrup']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Apple wedge,Martini glass
apple & elderflower collins,"apple schnapps liqueur, dry gin, lime juice, soda water, st-germain elderflower liqueur","[['4.5 cl', 'Rutte Dry Gin'], ['3 cl', 'St-Germain elderflower liqueur'], ['3 cl', 'Apple Schnapps liqueur'], ['3 cl', 'Lime juice (freshly squeezed)'], ['Top up with', 'Thomas Henry Soda Water']]",SHAKE first 4 ingredients with ice and strain into ice-filled glass. TOP with soda and briefly stir.,Lemon slice,Collins glass
apple & melon cocktail,"green melon liqueur, lime juice, sour apple liqueur, vodka","[['6 cl', 'Ketel One Vodka'], ['3 cl', 'Sour apple liqueur'], ['1.5 cl', 'Green melon liqueur'], ['1.5 cl', 'Lime juice (freshly squeezed)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Apple wedge,Martini glass
apple & spice,"avallen calvados, single cream / half-and-half","[['2.25 cl', 'Avallen Calvados'], ['2.25 cl', 'Single cream / half-and-half']]",Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,Dust with cinnamon powder,Shot glass
apple brandy sour,"angostura aromatic bitters, avallen calvados, lemon juice, pasteurised egg white, sugar syrup","[['6 cl', 'Avallen Calvados'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['2.25 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['3 dash', 'Angostura Aromatic Bitters'], ['1.5 cl', 'Pasteurised egg white']]",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and strain into ice-filled glass.,Lemon slice & Luxardo Maraschino cherry on stick (sail),Old-fashioned glass
apple breeze,"apple juice, bison grass vodka, cranberry juice","[['6 cl', 'Bison grass vodka'], ['7.5 cl', 'Apple juice'], ['4.5 cl', 'Cranberry juice (sweetened)']]",SHAKE all ingredients with ice and strain into ice-filled glass.,Apple wedge,Collins glass
